location,BHK,total_sqft,bath,price
Koregaon Park,3,1312.5,3,51.19
Laxmi Road,3,1220,3,35.23
Lulla Nagar,2,1255,2,80
Mahatma Gandhi Road,3,1904,3,155
Mangalwar peth,2,1329,2,70
Manik Bagh,2,1200,2,60
Market yard,3,2135,3,160
Mukund Nagar,1,813,1,39
Nana Peth,2,800,2,30
Narayangaon,3,1500,3,70
Navi Peth,3,1880,3,95
Padmavati,3,1440,2,55
Parvati Darshan,3,1575,3,90
Pashan,3,1630,2,97.78
Paud Road,3,1180,3,55
Pirangut,2,1090,2,36
Prabhat Road,2,1020,2,48.45
Pune Railway Station,4,2425,4,173
Rasta Peth,2,1097,2,33.82
Raviwar Peth,2,1070,2,50
Sadashiv Peth,2,1000,2,58
Salunke Vihar,2,1150,2,56
Sasson Road,3,1900,4,145
Satara Road,2,1141,2,49
Senapati Bapat Road,2,937,2,44
Shaniwar Peth,2,1075,2,60
Shivaji Nagar,2,1000,2,65.3
Shukrawar Peth,3,1450,3,77.41
Sinhagad Road,5,897,2,85
Somwar Peth,2,936,2,43
Swargate,2,1280,2,75
Tilak Road,2,1050,2,45
Uruli Devachi,2,1350,2,86
Vadgaon Budruk,2,1325,2,70
Wadgaon Sheri,2,1174,2,59
Viman Nagar,3,1890,3,162
Vishrant Wadi,1,735,1,75
Wagholi,1,500,1,24
Wakadewadi,3,1304,3,80
Wanowrie,3,1653,3,120
Warje,3,1075,2,52
Yerawada,2,1212,3,42
Alandi Road,2,1100,2,50
Aundh,2,1140,2,50
Aundh Road,2,1200,2,100
Balaji Nagar,3,1532,3,83
Baner road,3,1531,2,75
Bhandarkar Road,3,1270,2,50.79
Bhavani Peth,2,1325,2,53
Bopodi,3,1156,2,44
Bund Garden Road,2,1260,2,70
Camp,2,1934,2,90
Chandan Nagar,2,1060,2,40
Dapodi,3,1476,3,95
Deccan Gymkhana,2,1185,2,85
Dehu Road,3,1265,2,82
Dhayari Phata,2,1196,2,56.81
Dhole Patil Road,2,1280,2,69
Erandwane,4,800,4,86
Fatima Nagar,2,1175,2,45
Fergusson College Road,3,1850,3,98
Ganeshkhind,2,1195,2,70
Ghorpade Peth,3,2000,3,185
Gultekdi,2,1180,2,36.5
Guruwar peth,2,1050,2,49.87
Hadapsar,3,1400,2,40.44
Hadapsar Industrial Estate,4,2360,4,150
Hingne Khurd,2,1030,2,77.25
Jangali Maharaj Road,2,1512,1,65.01
Kalyani Nagar,2,929,2,48
Karve Nagar,3,1252,3,61
Karve Road,3,1485,3,115
Kasba Peth,3,1124,2,55
Khadaki,3,1407,3,120
Khadki,3,1482,2,97
Kharadi,2,1163,2,98.86
Kondhwa,3,1570,3,140
Kondhwa Khurd,1,520,1,14.04
Koregaon Park,3,2000,3,160
Kothrud,2,1352,2,75
Law College Road,2,1152,2,65
Laxmi Road,3,1575,3,93
Lulla Nagar,3,1965,4,125
Mahatma Gandhi Road,3,1300,2,70
Manik Bagh,2,957,2,47
Market yard,3,1740,3,60
Model colony,5,1080,6,65
Mukund Nagar,2,1060,2,35
Mundhawa,2,975,2,50
Nagar Road,2,1150,2,51
Nana Peth,3,1738,2,79
Narayan Peth,3,1250,3,55
Narayangaon,3,1788,3,90
Navi Peth,2,1151,2,59
Padmavati,3,1300,2,60
Parvati Darshan,2,1150,2,52.8
Pashan,2,1380,2,75
Paud Road,3,1645,3,117
Pirangut,2,1141,2,45.9
Prabhat Road,2,1175,2,82.5
Pune Railway Station,3,1355,2,61
Rasta Peth,2,1150,2,70
Sadashiv Peth,2,1000,2,45
Sahakar Nagar,2,1007,2,65
Sasson Road,3,1436,3,70
Senapati Bapat Road,3,2372,3,140
Shivaji Nagar,3,1276,3,10
Sinhagad Road,2,1016,2,58
Somwar Peth,2,1100,2,48
Swargate,2,1080,2,45
Tilak Road,2,1070,2,60
Uruli Devachi,3,1532,3,115
Vadgaon Budruk,2,1040,2,42.12
Viman Nagar,2,1137.5,2,48.905
Vishrant Wadi,3,1430,2,51.6
Warje,2,1190,2,100
Yerawada,3,1827,3,100
Alandi Road,2,1210,2,75
Ambegaon Budruk,3,1500,3,95
Anandnagar,2,1050,2,53.5
Aundh,2,1251,2,88.73
Aundh Road,3,1600,2,115
Balaji Nagar,2,1128,2,65.5
Baner,3,1820,3,93
Baner road,3,2072,4,159
Bhandarkar Road,3,1510,2,59
Bhavani Peth,3,1925,2,114
Bopodi,3,2072,4,147
Budhwar Peth,2,1000,2,36
Bund Garden Road,3,1752,3,145
Camp,2,960,2,56
Chandan Nagar,2,1180,2,63
Dapodi,3,2270,3,180
Deccan Gymkhana,2,650,2,59
Dehu Road,2,1200,2,75
Dhankawadi,3,1180,2,46
Dhayari Phata,3,1300,3,47
Dhole Patil Road,2,1157,2,40
Erandwane,3,1300,3,69
Fatima Nagar,3,1305,2,59
Fergusson College Road,3,2006,4,196
Ganesh Peth,2,1290,2,80
Ganeshkhind,2,1170,2,45
Ghorpadi,2,1400,2,78
Gokhale Nagar,2,1200,2,75
Gultekdi,3,1155,2,60
Guruwar peth,3,1725,3,85
Hadapsar,2,700,2,40
Hingne Khurd,2,1112,2,88
Jangali Maharaj Road,2,1178,2,78
Kalyani Nagar,2,1274,2,81
Karve Nagar,2,915,2,32
Karve Road,8,1650,6,135
Kasba Peth,1,760,1,21.28
Katraj,3,1540,3,68
Khadaki,2,1206,2,38.5
Khadki,3,1645,3,95
Kondhwa Budruk,4,2342,3,115
Kondhwa Khurd,3,1200,2,55
Koregaon Park,2,1056,2,33
Law College Road,3,1450,3,54.3
Laxmi Road,2,1161,2,36.69
Lulla Nagar,2,1097,2,65
Mahatma Gandhi Road,2,850,2,35
Mangalwar peth,3,1715,3,115
Market yard,2,1200,2,59
Model colony,2,1080,2,38
Mukund Nagar,2,1200,2,50.3
Nagar Road,3,1400,2,78
Narayan Peth,1,458,1,19.695
Narayangaon,2,1230,2,57
Navi Peth,3,1640,3,88
Padmavati,3,1700,3,125
Parvati Darshan,3,1478,2,44
Paud Road,2,1020,2,40.79
Prabhat Road,3,1275,2,95
Pune Railway Station,4,1600,3,165
Rasta Peth,2,1110,2,38.85
Raviwar Peth,3,1627.86,3,88
Sadashiv Peth,2,620,2,22
Salunke Vihar,2,1133,2,52
Sasson Road,2,1182,2,82.5
Satara Road,3,1500,3,100
Shaniwar Peth,2,1200,2,58
Shivaji Nagar,2,1128,2,48.79
Somwar Peth,2,1100,2,45
Swargate,2,635,1,22
Tilak Road,4,2062,3,140
Uruli Devachi,3,1874,4,130
Wadgaon Sheri,2,1171,2,75
Viman Nagar,3,2020,3,85
Vishrant Wadi,2,1059,2,34.5
Wagholi,3,1315,2,59.1
Wakadewadi,3,1760,3,110
Wanowrie,2,1200,2,125
Warje,3,1192,2,62
Yerawada,3,1645,3,121
Alandi Road,2,1250,2,72
Ambegaon Budruk,1,709,1,34.385
Anandnagar,2,1340,2,77
Aundh,3,2388,4,239
Aundh Road,2,1369.1,2,104
Balaji Nagar,2,1355,2,75
Baner,2,1150,2,65
Baner road,3,1938,3,113
Bhandarkar Road,4,2462,4,124
Bhavani Peth,3,1636,3,85
Bibvewadi,3,1430,2,75
Bopodi,3,2000,3,85
Budhwar Peth,3,993,2,50
Camp,3,1700,3,88
Chandan Nagar,2,1270,2,78
Dapodi,3,1500,3,121
Dhankawadi,3,1650,3,86.45
Dhayari Phata,2,1109,2,63
Dhole Patil Road,2,1280,2,49.75
Ganesh Peth,3,1462,3,71
Ganeshkhind,1,607,1,35
Ghorpade Peth,2,930,2,25
Hadapsar,3,1418,3,52.47
Hingne Khurd,2,1125,2,65
Jangali Maharaj Road,3,1825,3,126
Kalyani Nagar,2,1320,2,79.5
Katraj,2,750,2,52.7
Khadaki,3,1400,2,80.54
Kondhwa Budruk,4,1150,3,110
Kondhwa Khurd,3,1200,3,61.96
Koregaon Park,2,965,2,48
Kothrud,1,812,1,26
Law College Road,2,1100,2,43
Laxmi Road,2,1180,2,41
Lulla Nagar,2,1145,2,48
Mahatma Gandhi Road,2,1027,2,44
Mangalwar peth,2,1215,2,49.85
Manik Bagh,2,1200,2,75
Market yard,2,1015,2,58
Model colony,3,2400,3,165
Nagar Road,2,1076,2,52
Nana Peth,2,1300,2,109
Narayan Peth,2,1300,2,102
Narayangaon,3,1512,3,123
Navi Peth,3,1053.4,3,88.91
Padmavati,1,605,1,41.745
Parvati Darshan,2,1153,2,65
Pashan,2,2080,2,150
Paud Road,2,1255,2,69
Prabhat Road,3,1583,3,109
Pune Railway Station,2,1505,2,90
Rasta Peth,3,1365,2,75.08
Raviwar Peth,3,1200,3,95.75
Sadashiv Peth,3,1810,4,148
Sahakar Nagar,1,440,1,35
Salunke Vihar,2,975,2,63
Sasson Road,2,1250,2,39
Satara Road,3,1530,2,97
Senapati Bapat Road,3,1300,2,39
Shaniwar Peth,2,1115,2,40
Shivaji Nagar,2,1308,2,83
Shukrawar Peth,2,1194,2,47
Sinhagad Road,3,1490,2,59.6
Swargate,3,1592,3,91
Tilak Road,2,1222,2,112
Uruli Devachi,2,1267,2,42.85
Vadgaon Budruk,1,656,1,53
Vishrant Wadi,2,1200,1,36
Wagholi,3,1698,3,102
Wakadewadi,3,1500,3,70
Wanowrie,4,2000,5,80
Warje,2,1152,2,65.75
Yerawada,1,550,1,21
Alandi Road,2,900,2,42
Ambegaon Budruk,3,1410,2,45.12
Anandnagar,3,1419,2,73
Aundh,2,1200,2,55
Aundh Road,3,1800,3,65
Balaji Nagar,2,990,2,40
Baner,2,1016,2,45
Baner road,2,1100,2,39
Bhandarkar Road,4,850,2,65
Bhavani Peth,2,1095,2,35
Bibvewadi,3,2000,3,85
Bopodi,2,1444,2,70
Budhwar Peth,2,1415,2,67
Bund Garden Road,3,1500,2,130
Camp,3,1600,3,72
Chandan Nagar,2,1105,2,41.36
Dapodi,3,1225,3,45.03
Dehu Road,2,1080,2,37.8
Dhankawadi,7,2400,3,150
Dhayari Phata,3,1856,3,135
Dhole Patil Road,3,1464,3,56
Erandwane,6,2100,6,71
Fatima Nagar,2,1150,2,77
Fergusson College Road,5,1200,4,98
Ganesh Peth,3,2094,2,113.19
Ganeshkhind,3,1485,2,67
Ghorpade Peth,3,2500,3,75
Ghorpadi,2,1200,2,45
Gokhale Nagar,2,1036,2,59.46
Guruwar peth,2,1400,2,80
Hadapsar,2,1110,2,33
Hadapsar Industrial Estate,2,1150,2,48
Hingne Khurd,1,715,1,45
Jangali Maharaj Road,4,1200,4,130
Karve Nagar,4,2283,4,130
Kasba Peth,3,1453,2,43.58
Katraj,3,1400,2,85
Khadaki,3,1400,3,65
Khadki,3,1700,3,140
Kharadi,3,1591,3,120
Kondhwa,3,1515,2,79
Kondhwa Budruk,5,2500,3,200
Kondhwa Khurd,2,975,2,24.86
Koregaon Park,3,1382,2,76.18
Law College Road,3,1533,3,150
Lulla Nagar,2,1100,2,38
Mangalwar peth,3,1500,2,120
Manik Bagh,3,1391,2,64.5
Market yard,2,1160,2,42.92
Model colony,1,620,1,27
Mundhawa,8,1200,7,130
Nana Peth,3,1482,3,60.98
Narayan Peth,2,1405,2,84.5
Narayangaon,2,1190,2,40
Navi Peth,2,1174,2,78
Padmavati,2,1155,2,72
Parvati Darshan,3,1411,3,93.04
Pashan,2,745,2,50
Paud Road,2,1000,2,30
Pirangut,2,923,2,50
Prabhat Road,2,1000,2,32
Pune Railway Station,2,1276,2,45
Rasta Peth,3,1460,3,70
Raviwar Peth,2,1355,2,95
Sadashiv Peth,1,833,1,49
Sasson Road,2,1200,2,48
Satara Road,1,669,1,36.85
Senapati Bapat Road,3,2200,4,105
Shaniwar Peth,3,1594,3,125
Shivaji Nagar,3,1790,3,105
Shukrawar Peth,2,1020,2,45
Somwar Peth,2,1037,2,36.28
Swargate,3,1345,2,57
Tilak Road,2,1070,2,43
Vadgaon Budruk,3,1385,2,76.18
Wadgaon Sheri,2,1207,2,79.9
Viman Nagar,2,1140,2,55.5
Vishrant Wadi,2,1220,2,68
Wanowrie,3,1965,3,120
Warje,3,1760,2,115
Yerawada,2,1225,2,70
Alandi Road,2,1075,2,52.43
Ambegaon Budruk,2,1000,2,68
Anandnagar,3,1891,3,109
Aundh,2,1322,2,86
Baner,2,1045,2,36.58
Baner road,3,1545,3,85
Bhandarkar Road,3,1996,3,135
Bhavani Peth,2,1125,2,70
Bibvewadi,3,1560,3,115
Bopodi,3,2000,2,85
Bund Garden Road,2,780,2,35
Camp,2,1350,2,110
Chandan Nagar,3,2275,4,180
Dapodi,2,1350,2,41
Deccan Gymkhana,3,1464,3,56
Dehu Road,3,1570,3,64.5
Dhankawadi,1,708,1,28.32
Dhayari Phata,3,1680,3,160
Dhole Patil Road,2,1400,2,82
Erandwane,2,1310,2,72
Fergusson College Road,2,1175,2,57
Ganesh Peth,3,1428,2,80
Ganeshkhind,4,750,4,62
Ghorpadi,2,1194,2,46
Gultekdi,2,1080,2,35
Guruwar peth,3,1200,2,68
Hadapsar,2,1200,2,45
Hadapsar Industrial Estate,5,1200,4,120
Hingne Khurd,3,1320,2,38.13
Jangali Maharaj Road,3,1842,3,115
Kalyani Nagar,2,1146,2,55
Karve Nagar,1,440,1,28
Karve Road,2,1048,2,50
Kasba Peth,3,1801,3,115
Katraj,2,1232,2,69.61
Khadaki,2,1150,2,90
Khadki,3,1868,3,120
Kharadi,3,1445,2,47.1
Kondhwa,3,1466,2,140
Kondhwa Budruk,3,1730,3,100
Koregaon Park,2,1185,2,70
Law College Road,4,2400,4,147
Laxmi Road,2,1185,2,49
Lulla Nagar,2,1150,2,49
Mahatma Gandhi Road,5,2000,4,180
Manik Bagh,2,1075,2,35
Market yard,3,1760,3,123
Model colony,2,1600,2,63.98
Mundhawa,2,1000,2,78
Nagar Road,2,1215,2,90
Nana Peth,3,1734,3,125
Narayan Peth,2,1280,2,60
Narayangaon,2,1113,2,55
Navi Peth,2,1272,2,48
Padmavati,3,1240,3,41
Pashan,2,1100,2,70
Paud Road,2,896,2,30.13
Prabhat Road,2,1200,2,35
Sahakar Nagar,2,1500,2,30
Sasson Road,2,1096,2,48
Senapati Bapat Road,2,1094,2,44
Shaniwar Peth,2,1100,2,49
Sinhagad Road,2,1145,2,40
Somwar Peth,3,1550,3,74.5
Swargate,3,1830,4,82
Tilak Road,3,1746,3,84.95
Uruli Devachi,4,1280,4,115
Vadgaon Budruk,2,918,2,27.54
Wadgaon Sheri,1,645,1,16.45
Viman Nagar,3,1305,2,60
Vishrant Wadi,2,1207,2,62
Wagholi,3,1678,3,125
Wakadewadi,2,950,2,50
Warje,2,1070,2,55
Yerawada,3,1732.46,3,92
Alandi Road,3,1639,2,40.98
Ambegaon Budruk,2,1360,2,103
Aundh Road,5,720,4,62
Balaji Nagar,3,1656,3,150
Baner,2,985,2,49
Baner road,3,1999,3,135
Bhandarkar Road,2,1050,2,75
Bhavani Peth,3,1440,2,64
Bibvewadi,3,1600,2,160
Bopodi,2,1253,2,52.66
Budhwar Peth,3,1200,3,85
Bund Garden Road,3,1360,2,75
Camp,2,1086,2,47.5
Chandan Nagar,3,1655,3,155
Deccan Gymkhana,2,1418,2,78
Dehu Road,2,1270,2,100
Dhankawadi,3,1410,2,52.17
Dhayari Phata,2,1150,2,74
Dhole Patil Road,2,600,3,45
Erandwane,3,1440,3,65.8
Fatima Nagar,3,1200,2,108
Fergusson College Road,2,1200,2,75
Ganesh Peth,3,1410,2,50.06
Ganeshkhind,4,1200,5,92
Ghorpade Peth,3,600,3,60
Ghorpadi,1,624,1,35
Gokhale Nagar,2,1060,2,58
Guruwar peth,2,1200,2,45
Hadapsar Industrial Estate,4,1917,3,60
Hingne Khurd,2,950,2,40
Kalyani Nagar,3,1250,3,50
Karve Nagar,2,1235,2,60
Karve Road,1,722,1,46
Katraj,2,1200,2,93
Khadaki,3,1400,3,68
Khadki,3,1225,3,60
Kharadi,2,1220,2,58.5
Kondhwa,1,705,1,52.5
Kondhwa Budruk,3,1880,3,94.36
Kondhwa Khurd,2,1200,2,70
Koregaon Park,3,1550,2,60
Kothrud,3,1893,3,130
Law College Road,3,1650,3,75
Laxmi Road,2,1113,2,46
Mahatma Gandhi Road,9,1800,9,180
Mangalwar peth,3,1586,3,70
Market yard,3,1541,3,80
Model colony,3,1830,3,101
Mukund Nagar,2,1200,2,48
Mundhawa,3,1800,2,72
Nagar Road,2,1015,2,40
Nana Peth,2,1120,2,37.95
Narayan Peth,1,706,1,48.24
Narayangaon,4,1350,4,85
Padmavati,3,1900,3,99
Paud Road,3,1075,2,42
Pirangut,2,1290,2,80
Prabhat Road,2,1200,2,50
Pune Railway Station,2,1150,2,53.11
Rasta Peth,3,1360,2,61.2
Sadashiv Peth,2,935,2,32.73
Sahakar Nagar,3,1730,3,140
Salunke Vihar,2,1260,2,53
Senapati Bapat Road,2,950,2,45.68
Shivaji Nagar,5,2500,5,120
Somwar Peth,3,1991,4,88
Swargate,2,1115,2,60
Tilak Road,3,1900,3,150
Uruli Devachi,2,1109,2,41.49
Vadgaon Budruk,4,2340,5,129
Vishrant Wadi,2,1005,2,43
Wagholi,1,416,1,19.5
Wakadewadi,2,1394,2,100
Wanowrie,3,2138,3,110
Warje,3,1550,3,160
Yerawada,3,1300,3,80
Alandi Road,2,1265,2,82
Ambegaon Budruk,2,1140,2,52
Anandnagar,2,1050,2,40
Aundh,2,1100,2,48
Aundh Road,2,1012,2,59
Balaji Nagar,4,1600,4,112
Baner,2,1326,2,57
Baner road,3,1654,2,85
Bhavani Peth,2,1070,2,42.8
Bibvewadi,3,1700,3,95
Bopodi,2,910.2,2,80.64
Budhwar Peth,2,1140,2,50.66
Camp,3,2254,3,170
Chandan Nagar,2,945,2,47
Dapodi,4,2462,6,150
Dehu Road,1,615,1,44
Dhankawadi,2,1110,2,65
Dhole Patil Road,2,1025,2,54.1
Erandwane,3,1758,3,95
Fergusson College Road,3,1342,3,92
Ganesh Peth,3,1800,3,85
Ghorpade Peth,2,1140,2,32
Ghorpadi,2,1608,2,85
Gokhale Nagar,3,1645,2,82
Gultekdi,3,1410,2,56.4
Guruwar peth,2,1200,2,52
Hadapsar,3,1275,2,41.5
Hingne Khurd,3,909,2,40
Jangali Maharaj Road,2,1200,3,85
Kalyani Nagar,2,1080,2,73
Karve Nagar,2,1200,2,34
Karve Road,2,1092,2,60
Kasba Peth,3,1932,4,135
Katraj,2,1156,2,72
Khadaki,2,924,2,35.11
Khadki,2,1330,2,75
Kharadi,3,1917,4,113
Kondhwa,2,985,2,25.12
Kothrud,1,655,1,53
Law College Road,3,1800,3,140
Laxmi Road,4,1360,2,45
Lulla Nagar,3,1785,3,118
Mangalwar peth,3,1645,3,120
Manik Bagh,2,1235,2,63
Market yard,2,900,2,48
Model colony,1,662,1,42
Mukund Nagar,5,1440,5,100
Mundhawa,2,1215,2,62
Nagar Road,2,845,2,37
Nana Peth,3,1525,2,87
Narayan Peth,2,1000,2,48
Narayangaon,3,1255,2,90
Navi Peth,3,1560,3,120
Padmavati,3,2100,3,110
Parvati Darshan,3,1620,2,85
Pashan,3,1595,3,90
Paud Road,2,1095,2,38.52
Pirangut,2,835,2,37
Prabhat Road,3,2182,3,72.04
Pune Railway Station,2,1418,2,106
Rasta Peth,3,1900,2,180
Sadashiv Peth,2,1070,2,48
Sahakar Nagar,9,2000,9,150
Sasson Road,1,755,1,42.41
Satara Road,3,1645,3,117
Senapati Bapat Road,3,2400,3,190
Shaniwar Peth,1,645,1,16.45
Shukrawar Peth,3,2400,4,200
Somwar Peth,2,919,2,28
Swargate,3,1725,3,110
Tilak Road,2,1346,2,71.32
Uruli Devachi,2,1070,2,45
Vadgaon Budruk,2,1225,2,35.52
Wadgaon Sheri,6,880,6,75
Viman Nagar,1,640,1,20.5
Vishrant Wadi,3,1310,2,52.4
Wagholi,2,1190,2,39
Wakadewadi,3,1645,3,87.5
Wanowrie,2,1350,2,89
Warje,2,1404,2,68.8
Yerawada,3,1105,2,35
Alandi Road,2,900,2,41
Anandnagar,2,1100,2,41.15
Aundh,4,2100,4,95
Aundh Road,3,1948,3,130
Balaji Nagar,3,1464,3,56
Baner,2,1210,2,45
Bhandarkar Road,2,1252,2,55
Budhwar Peth,3,1300,3,89.13
Bund Garden Road,2,1130,2,73
Chandan Nagar,3,1690,3,125
Deccan Gymkhana,2,950,2,60
Dehu Road,2,1020,2,57
Dhankawadi,4,2107,4,95
Dhayari Phata,3,1735,3,72
Dhole Patil Road,2,915,2,37
Erandwane,3,1450,3,68
Fatima Nagar,3,2215,4,156
Fergusson College Road,3,2431,3,100
Ganesh Peth,3,1804,3,102
Ganeshkhind,2,1600,3,88
Ghorpade Peth,2,1280,2,75
Ghorpadi,3,1255,3,77.68
Gultekdi,2,1257,2,69
Guruwar peth,2,1240,2,53.27
Hadapsar Industrial Estate,6,1850,6,150
Hingne Khurd,2,1255,2,66
Jangali Maharaj Road,2,870,2,36
Kalyani Nagar,3,1789,3,98
Karve Road,2,660,1,18
Kasba Peth,3,600,3,54
Katraj,2,1155,2,56
Khadaki,2,1235,2,65
Kharadi,2,1025,2,50
Kondhwa,3,1395,2,72
Kondhwa Budruk,3,1530,2,74.4
Kondhwa Khurd,3,1252,2,71
Koregaon Park,2,1081,2,30.27
Kothrud,3,1255,3,130
Law College Road,4,2062,3,150
Laxmi Road,3,1220,3,56
Lulla Nagar,3,1408,2,55
Mahatma Gandhi Road,3,1180,2,60
Mangalwar peth,1,715,1,29
Manik Bagh,2,1230,2,94.5
Market yard,2,1035,2,45.5
Mukund Nagar,3,1300,3,77.99
Mundhawa,3,1100,3,52.97
Nagar Road,2,1216,2,84
Nana Peth,2,1450,2,62.63
Narayan Peth,1,705,1,57
Narayangaon,3,1385,3,64
Navi Peth,2,1200,2,36.1
Padmavati,3,1310,2,32.75
Parvati Darshan,2,1043,2,39.5
Pashan,2,1320,2,110
Paud Road,3,1900,3,205
Pirangut,2,1140,2,39.9
Prabhat Road,2,1100,2,45
Pune Railway Station,3,1586,3,90
Rasta Peth,2,975,2,24.86
Raviwar Peth,2,1365,3,60
Sadashiv Peth,2,1263,2,107
Sahakar Nagar,3,1565,2,59.76
Satara Road,3,2320,3,170
Senapati Bapat Road,3,1750,3,99
Shaniwar Peth,2,1143,2,55
Shivaji Nagar,3,1936,3,118
Shukrawar Peth,2,660,1,15
Sinhagad Road,2,700,1,19
Somwar Peth,3,1402,2,85
Tilak Road,2,1000,2,41
Uruli Devachi,2,1000,2,35
Vadgaon Budruk,2,818,2,26
Wadgaon Sheri,4,1680,3,135
Viman Nagar,4,2422,3,150
Vishrant Wadi,2,1145,2,100
Wagholi,3,1190,2,30.35
Wakadewadi,2,1145,2,62
Wanowrie,3,1575,3,68
Yerawada,2,1200,2,46
Alandi Road,3,1500,2,63
Anandnagar,3,1583,3,76.1
Aundh,2,700,2,34.98
Aundh Road,2,950,2,38
Balaji Nagar,2,1041,2,36.44
Baner,2,1085,2,70
Baner road,2,1070,2,37
Bhandarkar Road,2,1165,2,45
Bhavani Peth,2,1000,2,35
Bibvewadi,2,1169,2,64
Bopodi,4,1150,4,110
Budhwar Peth,3,1840,3,140
Bund Garden Road,3,1550,3,75
Camp,2,997,2,53
Chandan Nagar,2,1457,2,60
Dapodi,2,1000,2,60
Deccan Gymkhana,2,1000,2,60
Dehu Road,3,1500,3,88
Dhayari Phata,2,1165,2,75
Erandwane,3,1787,3,123
Fatima Nagar,3,1288,2,70
Fergusson College Road,3,1430,2,54.11
Ganeshkhind,1,750,1,25.5
Ghorpadi,3,1200,3,67.77
Gokhale Nagar,3,1500,2,78
Gultekdi,2,1230,2,66.25
Guruwar peth,1,780,1,55
Hadapsar,2,1220,2,80
Hadapsar Industrial Estate,2,1110,2,43
Jangali Maharaj Road,9,1380,9,150
Kalyani Nagar,3,1690,3,85
Karve Nagar,2,1130,2,78
Karve Road,2,1213,2,59.32
Kasba Peth,2,900,2,45
Katraj,2,1199,2,85
Khadki,4,2072.5,2,111
Kondhwa,1,661,1,36
Kondhwa Khurd,3,1710,3,100
Koregaon Park,2,1030,2,50
Kothrud,3,1220,3,56
Law College Road,3,1530,3,73.5
Laxmi Road,2,1200,2,78
Lulla Nagar,3,2000,3,85
Mahatma Gandhi Road,1,300,1,20
Mangalwar peth,3,1751,2,115
Market yard,2,1255,2,79
Model colony,3,1778,3,122
Mukund Nagar,2,1100,2,45
Mundhawa,2,1480,2,65
Nagar Road,2,1358,2,81
Nana Peth,1,580,1,27
Narayan Peth,2,1197,2,63
Navi Peth,3,1705,3,110
Padmavati,3,1310,2,37.83
Parvati Darshan,2,1132,2,67.9
Paud Road,2,814,2,55
Pirangut,3,1575,3,90
Prabhat Road,2,1302,2,66
Pune Railway Station,6,1800,8,175
Rasta Peth,3,2006.8,4,196
Raviwar Peth,2,1100,2,44
Sahakar Nagar,2,830,2,37
Salunke Vihar,1,435,1,19.5
Sasson Road,3,1590,3,120
Satara Road,2,1140,2,33.06
Senapati Bapat Road,2,1090,2,59.8
Shaniwar Peth,3,1922,3,106
Shivaji Nagar,2,965,2,67
Shukrawar Peth,2,883,2,40.95
Sinhagad Road,2,1062,2,42.47
Somwar Peth,2,1089,2,32.67
Swargate,3,1358,2,43.1
Tilak Road,2,1108,2,87
Uruli Devachi,2,1197,2,79
Vadgaon Budruk,2,1190,2,50
Viman Nagar,3,1749,3,117
Wagholi,3,1691,3,104
Wakadewadi,3,1449,3,100
Wanowrie,3,1625,2,87.72
Warje,2,1400,2,80
Yerawada,3,1310,2,37.83
Alandi Road,2,1100,2,48
Ambegaon Budruk,3,1230,2,53.51
Anandnagar,3,1750,3,130
Aundh,3,1450,3,100
Aundh Road,3,1810,3,126
Balaji Nagar,2,1246,2,62.3
Baner,3,1420,3,85
Bhandarkar Road,3,1450,2,89.6
Bibvewadi,2,1367,2,62
Bopodi,3,2254,3,170
Budhwar Peth,2,1160,2,42
Camp,3,1711,3,75
Dapodi,2,1120,2,37.97
Deccan Gymkhana,2,950,2,47
Dehu Road,2,1560,2,145
Dhankawadi,14,1250,15,125
Dhayari Phata,2,1225,2,60
Dhole Patil Road,3,1200,2,66
Erandwane,2,1340,2,77
Fatima Nagar,3,1846,3,145
Fergusson College Road,2,1155,2,46
Ganesh Peth,2,1205,2,70
Ganeshkhind,2,1140,2,36
Ghorpade Peth,2,1140,2,38.65
Ghorpadi,3,1300,2,63
Gokhale Nagar,2,1051,2,60
Gultekdi,2,1134,2,45.36
Guruwar peth,3,2500,4,260
Hadapsar Industrial Estate,2,1135,2,32.91
Hingne Khurd,3,1745,3,77
Kalyani Nagar,3,1665,3,105
Karve Nagar,2,1220,2,48.79
Karve Road,3,1868,3,113
Kasba Peth,3,640,3,45
Katraj,4,2300,4,200
Khadaki,2,1210,2,76
Khadki,2,1351,2,77
Kharadi,3,1636,3,119
Kondhwa Budruk,2,1464,2,56
Kondhwa Khurd,1,418,1,12
Koregaon Park,2,1339,2,62
Kothrud,3,2370,4,195
Law College Road,3,1530,2,74.5
Laxmi Road,2,1100,2,46
Lulla Nagar,3,1350,3,58
Mahatma Gandhi Road,2,1290,2,52
Mangalwar peth,3,1220,2,35.23
Manik Bagh,3,1846,3,155
Market yard,3,1847,3,135
Mukund Nagar,2,1430,2,110
Mundhawa,2,935,2,45
Nagar Road,3,1350,3,85
Narayan Peth,3,1590,3,96.5
Narayangaon,3,1286,3,67
Navi Peth,2,1141,2,40
Padmavati,2,1554,3,130
Paud Road,3,1749,3,112
Prabhat Road,2,1140,2,45
Pune Railway Station,4,1632,3,128
Rasta Peth,3,1000,2,41
Raviwar Peth,2,1065,2,58
Sadashiv Peth,3,1520,2,96
Sahakar Nagar,3,1075,2,43
Sasson Road,3,1539,2,52.36
Satara Road,2,1342,2,115
Senapati Bapat Road,2,1004,2,49
Shaniwar Peth,2,1295,2,95
